id_video,c1_description,c2_description,c3_description,c4_description,c5_description,c6_description,c7_description,c8_description
p_000,"The person raises their right hand from a relaxed position to an extended upward position with index finger pointing up, maintaining this pose for several seconds before lowering the hand.","The person raises their right hand from a resting position and performs a waving motion with fingers extended, moving the hand up and down repeatedly in front of their body.","The person raises their right hand with fingers extended, touches the side of their face near the eye area, then transitions to making circular motions with the hand in front of their face while maintaining fingers in a loose, curved position.","The person repeatedly waves their hand in front of them with fingers extended, moving in a side-to-side motion with varying height and intensity throughout the sequence.","The person performs a rapid waving motion with both hands in front of their body, moving their hands up and down with fingers extended while maintaining a vertical orientation.","The person performs a rapid waving motion with their right hand, moving it up and down in front of their body while keeping their fingers extended.","The person raises their right hand with fingers extended and palm facing forward, then waves it side to side in a repeated motion.","The person is performing a waving gesture with their right hand, moving it repeatedly from side to side with fingers extended in front of their body."
p_001,"The person raises both hands with palms facing forward, then brings them together in front of their chest before separating them outward in a horizontal motion.","The person raises their right hand to their ear in a phone-like gesture, holds it there briefly, then lowers it while simultaneously raising their left hand in a waving motion with fingers extended.","The person repeatedly crosses their arms in front of their chest in an X-shape, alternating between crossing at the wrists and uncrossing them while moving their hands outward and back inward.",The person keeps their hands mostly stationary on the table with minimal movement throughout the sequence of images.,"The person performs a rapid clapping motion with both hands in front of their body, followed by raising and waving both hands with fingers spread in an alternating side-to-side movement.","The person raises their right hand with index finger extended upward, then moves it in a circular motion before bringing it down toward their chest.",The person raises both hands with palms facing forward and waves them back and forth in a side-to-side motion.,"The person raises both hands with open palms and performs rapid, alternating up and down movements in front of their body."
p_002,"The person repeatedly raises their hand with index finger extended upward while the other fingers are curled, making multiple upward pointing gestures in a rhythmic motion.","The person raises both hands from a resting position and performs rapid, alternating up and down waving movements with open palms in front of their body.","The person raises their hands from a resting position, points with index fingers in various directions, touches their face briefly, and finally extends both hands outward with palms facing up.","The person raises their right hand to their ear in a phone-like gesture, then transitions to pointing upward with their index finger while moving their hand in small circular motions.","The person raises both hands from a resting position and performs rapid, alternating outward and inward waving movements with open palms at approximately shoulder height.","The person raises their hand to their face, touches their cheek with their index finger, then extends their thumb upward in a thumbs-up gesture.","The person raises their right hand with the index finger extended upward while keeping other fingers curled, maintaining this position for several seconds before lowering the hand.",The person extends both arms outward to the sides with palms facing up in a presenting or displaying gesture.
p_003,"The person raises their hand to their face, touches their cheek and chin in a circular motion, then returns to a crossed-arms position.","The person raises their hand to touch or rub the side of their face/cheek in a circular motion, then returns to a crossed-arms position.","The person raises their hand to their face, repeatedly touching or rubbing their cheek and chin area with their fingers while maintaining crossed arms.","The person performs a series of rapid hand movements in front of their face, alternating between open-palm gestures and closed fists while moving their hands in circular and side-to-side motions.","The person performs a hand-waving gesture with an open palm moving horizontally across their face, followed by crossing their arms over their chest.","The person performs a rubbing motion with both hands against each other in front of their body, followed by touching the side of their face with one hand.","The person transitions from crossed arms to raising their right hand with index finger extended upward, then performs various hand movements including pointing gestures and circular motions before returning to the crossed arms position.","The person repeatedly moves their arms from a crossed position to perform rapid side-to-side hand waving motions, occasionally extending one hand outward with fingers spread before returning to the crossed arms position."
p_004,"The person raises their right hand to their ear and makes a phone call gesture with thumb and pinky extended, then transitions to waving their hand with fingers spread in an upward motion.","The person repeatedly raises their hand to their face, making a brushing or wiping motion across their cheek with their fingers.","The person performs a sequence of gestures including pointing to their ear with an extended index finger, followed by making a phone-like hand shape near their ear, and then moving their hand downward in a brushing motion across their chest.","The person performs a sequence of gestures including rubbing their chest, raising their hand with fingers spread in a waving motion, making a pinching motion with thumb and index finger, and forming a frame shape with both hands using thumbs and index fingers.","The person performs a sequence of rapid hand movements, alternating between raising both hands upward with fingers spread and bringing them down in a crossing motion across the chest and face.","The person performs a sequence of hand gestures including crossing arms in front of the chest, making chopping motions with both hands, and raising both arms upward with open palms in a sweeping motion.","The person raises their right hand with index finger extended upward, holds it for several seconds, then transitions to moving both hands in alternating circular motions in front of their body.","The person performs a sequence of hand gestures starting with rubbing palms together, then forming an X-shape with crossed forearms in front of the face, followed by raising one arm with an extended index finger and moving it in a circular motion."
p_005,"The person performs a sweeping hand gesture, moving their right hand from right to left in a horizontal arc with palm open and fingers extended.","The person raises their right hand with fingers extended upward in a waving motion, then transitions to rapid back-and-forth hand movements in front of their body.","The person performs a waving motion with their left hand, moving it repeatedly from side to side with an open palm, while simultaneously maintaining their right hand in a relatively stationary position on the table.",The person performs a sequence of circular hand movements around each other followed by an outward sweeping gesture with the right hand extended to the side with palm facing up.,The person performs a waving gesture by raising their hand with fingers extended and moving it repeatedly from side to side in front of their body.,"The person transitions from rubbing their hands together to raising their right hand with fingers extended in a palm-forward stop gesture, while maintaining the left hand resting on the table.",The person repeatedly raises their index finger upward in a pointing gesture with one hand while simultaneously making various open-palm and grasping movements with the other hand.,"The person performs a sequence of hand gestures including rapid side-to-side waving motions with an open palm, followed by a horizontal sweeping motion with a flattened hand."
p_006,"The person repeatedly raises their right hand with index finger extended upward while the other fingers are curled, moving the hand in a slight circular or bouncing motion.",The person is repeatedly raising and lowering their right hand with a closed fist in a vertical pumping motion.,"The person performs a rapid alternating up-and-down movement with both hands, with fingers loosely extended, creating a continuous circular motion in front of their body.","The person performs a waving gesture with their right hand, moving it repeatedly from side to side with an open palm while simultaneously making smaller circular motions with their left hand.","The user raises their right hand with fingers extended in a palm-forward position in front of their face, then lowers it back down.","The person performs a waving gesture with their right hand, moving it repeatedly from side to side in front of their body with fingers extended.","The person raises their hand with fingers extended and palm facing forward, then waves it back and forth in a side-to-side motion several times.","The person performs a waving gesture with both hands, moving them side to side with fingers extended and palms facing forward."
p_007,"The person performs a sequence of hand gestures where they first tap their ear with their right hand, then raise their index finger upward, and finally make a circular motion with their right hand.","The person raises their right hand to their forehead in a saluting position with fingers extended and held there for several frames, then lowers the hand in a sweeping motion.","The person first places their hand on their face covering the eye area, holding this position for several seconds, then transitions to making repeated upward and downward hand movements with an open palm in front of their body.",The person tilts their head slightly to the left and then to the right while keeping their hands down at their sides throughout the sequence.,"The person raises their right hand with index finger extended upward, holds this position briefly, then transitions to pointing forward with the same finger while moving the hand in a downward motion.","The person makes a fist with one hand near their chest, then raises and opens their hand with fingers spread while moving it upward, followed by lowering the hand back down to the chest area.",The person raises their right hand with index finger extended upward and maintains this pointing gesture for several seconds before lowering their hand.,"The person repeatedly makes thumbs-up gestures with both hands, holding them in front of their chest while slightly pumping or bouncing their fists."
p_008,"The person performs a hand gesture where they start with hands clasped together, then raise one hand with fingers extended in a flat palm position while moving it in a horizontal sweeping motion from left to right.","The person raises their left hand with fingers extended and palm facing outward while holding it stationary above shoulder level, then rapidly moves their right hand in circular motions in front of their body.","The person performs a sequence of hand gestures including rapid hand movements across the face with an open palm, followed by circular hand motions in front of the body, and concluding with fingers spread in a grasping motion.","The person raises their right hand to their face, making a scratching or rubbing motion near their cheek or temple area, while their left hand remains on the table.","The person raises their right hand with fingers extended and palm facing forward, moving it in a side-to-side waving motion in front of their face.","The person performs a rapid forward punching motion with their right hand, extending their arm outward with fingers curled into a fist, then returning to the starting position.","The person transitions from rubbing their hands together to raising their right hand with fingers extended in a waving motion, then returns to the initial hand-rubbing position.","The person repeatedly waves their left hand in a side-to-side motion with an open palm, while occasionally making small gestures with their right hand."
p_009,"The person performs a continuous circular hand motion with fingers extended, repeatedly rotating both hands in front of their body in alternating circular patterns.","The person repeatedly taps or knocks their right hand against their left forearm/wrist in a rhythmic, downward motion while keeping one arm crossed over their body.","The person performs a sequence of hand gestures starting with an open palm wave, transitioning to a closed fist, and then repeatedly making forward punching motions with alternating hands.","The person performs a sequence of gestures including pumping their fist, extending their palm outward with fingers spread, and making circular motions with their closed fist.","The person performs a sequence of hand gestures including crossing arms, raising one hand with fingers extended upward, touching the forehead area, and making rapid circular motions with both hands in front of the body.","The person performs a sequence of hand gestures including clapping hands together, rotating the right hand with fingers spread in a circular motion, touching the chin with a closed fist, and making several quick hand movements with open palms in front of the body.","The person raises their right hand with fingers extended upward in a stationary position for several frames, then transitions to making a rapid downward waving or shaking motion with the same hand.","The person performs a sequence of hand gestures including clapping hands together, extending both palms outward with fingers spread, and then making repeated forward punching motions with one hand."
