id_video,c1_description,c2_description,c3_description,c4_description,c5_description,c6_description,c7_description,c8_description
p_000,"The user performs a single hand gesture with the right hand starting in a pose where the index finger is extended forward, thumb extended upward, and other fingers curled, palm oriented toward the left, then raising and bending the arm to move the hand upward and inward until the extended index finger touches the right temple while the thumb remains upward, holding this position briefly, followed by quickly lowering the thumb to meet the index finger while moving the hand forward and downward.","The user performs two combined hand gestures in sequence: first, raising the right hand with palm facing forward and fingers extended before curling into an upward-facing fist held at head level while the left hand forms a fist at chest level; second, extending the right hand's index finger upward from the fist with other fingers curled and palm facing inward, holding briefly, then moving the extended index finger horizontally across the front of the neck from right to left.","The user's right hand starts with palm facing forward and fingers extended, rises to form a gun shape with index finger extended forward, thumb raised upward, and other fingers curled, points the index finger at the right temple while lowering the thumb as if pulling a trigger, then recoils backward and lowers.","The user raises their right hand from a lower position, initially with an open palm facing forward and fingers extended, then curls the middle three fingers while keeping the thumb and pinky extended with palm oriented inward, brings it to the side of the head interacting with the ear and mouth areas, extends the arm forward maintaining the pose, and finally opens the hand fully with palm facing forward while moving it side to side horizontally.","The right hand starts with an open palm facing forward and all fingers extended, then curls the ring and pinky fingers while extending the index and middle fingers forward with palm sideways, and finally curls all fingers into a closed fist thrust slightly forward.","The user raises their right hand from a lowered position, extends the fingers with the palm facing forward and oriented upward, separates the index and middle fingers together from the ring and pinky fingers together while keeping the thumb extended outward to form a split between the middle and ring fingers, holds the pose briefly, and then lowers the hand while closing the fingers.","The user raises their right hand to face level with the palm facing forward, fingers extended and slightly spread, and moves it side to side in a waving motion before lowering it.","The user's right hand raises from below with an open palm facing forward and fingers extended, then transitions by curling the fingers to extend only the index finger pointing directly toward the viewer at face level, before lowering."
p_001,"The user raises their left hand upward to the side of their head with palm facing inward, forms a pose by extending the thumb to touch the ear and the pinky toward the mouth while curling the index, middle, and ring fingers, holds the position briefly, and then lowers the hand back down.","The user raises their right hand to the side of their head with thumb extended toward the ear and pinky toward the mouth while other fingers are curled, holds this pose briefly, then transitions the hand outward and upward with the index finger extended vertically while other fingers remain curled, and finally lowers the hand while directing the extended index finger downward toward their body.","The user raises both open hands with palms facing forward, crosses them at the wrists in an X shape in front of the chest, holds briefly, then uncrosses them and brings the palms together facing each other before separating and lowering.",The user does not perform any gesture.,"The user performs two combined hand gestures in sequence: first, raising the right hand with index finger extended and other fingers curled, palm facing inward, to touch the tip of the nose with the index fingertip, then moving the hand horizontally to the user's left while maintaining the pose with the index finger pointing leftward; second, after lowering, raising the right hand again with palm facing forward and fingers extended together upward before lowering.","The user raises their right hand with the index finger extended upward and other fingers curled, palm facing toward the body, then moves the hand inward to briefly touch the tip of their nose with the index fingertip before lowering it.","The left hand raises with palm facing forward and fingers extended upward, then curls into a fist with the thumb pointing upward.","The user raises their right hand with palm facing forward and fingers extended, moves it side to side in a waving motion, then curls the ring and pinky fingers while keeping the index and middle fingers extended and separated in a V shape with the thumb out, before lowering the hand."
p_002,"The user raises their right hand with the index finger extended upward to touch their nose, then transitions to extending the middle finger upward with the other fingers folded and palm facing inward, holding it briefly before lowering the hand.","The user raises their right hand with the index finger extended and other fingers curled to touch the index finger to their right temple, then moves the hand forward with fingers extended, raises the arm with the index finger pointing upward, spreads the fingers open with palm facing forward, forms a raised fist, lowers the arm while extending the index finger forward toward the camera, forms a fist again at chest level, and finally points the index finger downward while lowering the arm.","The user performs two combined hand gestures in sequence: first, raising the right hand sideways to the head with palm facing inward, thumb extended to touch the ear, pinky extended downward towards the mouth, and other fingers curled, holding briefly before transitioning to curling the pinky, extending the index finger, and moving it from pointing upward near the face to sideways to the right and then forward toward the viewer while lowering the arm; second, raising both hands outward to shoulder level with arms bent, palms oriented upward, and fingers extended.","The user performs a sequence of two combined hand gestures with the right hand: first holding it beside the head with thumb extended near the ear and little finger extended near the mouth while other fingers are curled, then transitioning to extend the index finger to touch the temple with other fingers curled, followed by lowering the hand and raising it forward with the index finger pointing upward, palm facing the camera, and other fingers curled.","The user raises their left hand upward to touch the temple with an extended index finger while the other fingers are curled, then moves the hand forward while transitioning to a V shape with the index and middle fingers extended and the others curled before lowering it, followed by raising both hands outward to the sides with palms facing upward, fingers slightly spread, and elbows bent in a brief oscillating motion.","The right hand raises from below with palm facing forward and fingers extended upward, moves to touch the side of the head near the temple with the index finger extended vertically while other fingers curl slightly, then transitions into a fist with the thumb extended upward before lowering.","The user raises their right hand to head level with the index finger extended vertically upwards, other fingers curled inward, palm facing somewhat forward, holds it steadily beside the face, and then lowers it.","The user performs a single gesture where both hands rise from below with palms facing forward and fingers extended and spread, moving outward to shoulder height before lowering back down."
p_003,"The user raises their right hand toward their chin with fingers initially together, then extends the index finger upward to touch the chin while curling the other fingers, holds briefly, and lowers the hand.","The user performs two combined hand gestures in sequence with the right hand: first, raising it with the index finger extended and other fingers curled, orienting the palm toward the face to touch the nose tip with the fingertip before lowering; second, raising it in a closed fist oriented with the back toward the camera to bring it near the mouth before lowering.","The right hand rises from a resting position with the index finger extended upward and other fingers curled, places the index finger vertically against the lips with the palm facing inward and holds briefly, then lowers to rest the chin on the back of the curled fingers before returning to rest.","The user performs a single hand gesture with the right hand raised from the table to near the right ear with thumb and pinky extended while other fingers curled and palm facing inward, held briefly interacting with the head, then moved forward while shifting to index finger extended pointing toward the viewer before lowering.","The user raises their right hand from the table with palm facing forward and fingers extended, moves it upward to cover their face, and then lowers it back down, while the left hand remains supporting the chin throughout the sequence.","The user raises their right hand upward, forms a pose with the thumb extended vertically and index finger pointed horizontally while curling the other fingers, orients the hand palm inward to direct the index finger toward their right temple, presses it against the head, and briefly moves the thumb downward before lowering the hand.","The user raises their right hand to touch the chin with fingers curled, then lifts the hand to the side of the head while extending the index finger upwards with other fingers remaining curled and palm oriented forward, holds the pose briefly, and lowers the hand.","The user repeatedly performs a single gesture by raising the right hand with fingers extended and joined, thumb alongside, palm facing forward, upward to position the fingertips at the right temple, then lowering the hand back down."
p_004,"The user's left hand forms a pose with the index finger extended forward, thumb extended upward, and other fingers curled, raises it to touch the index fingertip to the left temple while oriented palm inward, holds briefly, then quickly pulls the hand backward away from the head; subsequently, the same hand moves forward in the identical finger pose, orients to point the index finger directly toward the viewer with palm facing right, holds briefly, and then lowers.","The user's right hand, with fingers extended and palm facing inward, rises to neck level and repeatedly moves horizontally back and forth across the throat, occasionally touching the neck and chin with the edge of the hand or index finger, before lowering.","The user raises their left hand from a lowered position with the palm facing forward and fingers extended, moves it side to side several times, then curls all fingers except the index extended forward and thumb up while pointing forward, followed by bending the thumb down before lowering the hand.","The user performs two combined hand gestures in sequence with the right hand: first, raising it to show the palm facing forward with fingers extended and moving it slightly side to side, then curling the fingers to form a circle with the thumb and index finger while extending the other three fingers, holding it at chest level with palm facing forward.","The user raises the right hand with palm facing forward and fingers extended together upward to briefly touch the right side of the forehead with the edge of the hand, then flicks the hand outward to the left horizontally at shoulder level with palm still facing forward, and repeats the same sequence once more.","The user performs two combined hand gestures with the right hand: first, an open hand with fingers extended and palm facing forward moves horizontally from the user's right to left across the body at chest level, followed by the same hand raised higher with palm facing the camera and oscillating side to side in a repeated left-right motion.","The user performs a single gesture with the right hand, starting with the index finger extended and other fingers curled in a loose fist, palm facing downward while pointing forward at chest level, then raising the arm upward to reorient the palm inward and point the index finger toward the ceiling at head height, holding briefly before lowering the arm while transitioning back to pointing forward and relaxing.","The user raises both arms to cross them in an 'X' formation in front of the face with palms facing forward and fingers extended, then transitions to pointing the right index finger forward before forming a closed fist with the right hand and raising it upward in a pumping motion."
p_005,"The user raises their right hand from the table to chest level with palm open and facing forward, then rotates the wrist to orient the back of the hand forward while curling the thumb and all fingers except the middle finger which extends upward, before closing the hand and lowering it back to the table.","The user raises their right hand with fingers extending from initially curled to fully spread and extended in an open palm pose facing forward, lifting it upward to head level and holding briefly before lowering it downward with fingers relaxing.","The user performs two combined gestures with the left hand in sequence: first, raising it from low position with open palm facing forward and fingers extended, moving it upward to position the extended index finger vertically in front of or touching the lips while curling other fingers, then lowering it with open palm; second, repeating the same raising motion to the vertical index finger position at the lips, then rotating the hand to draw the extended index finger horizontally across the throat while touching it.","The user performs two combined hand gestures in sequence: first, raising the left hand with fingers extended and palm facing forward to touch the left temple with the hand rotated palm downward, then extending the arm sideways to the left with palm facing forward and holding it briefly with slight tilting, and second, bringing both hands together at chest level with palms facing to clap once.","The user raises their left hand from a clasped position with the palm facing forward and fingers extended upward, holds it at face level, then folds all fingers except the middle one which remains extended upward while the palm continues facing forward, before lowering the hand back to rest.","The user performs a single hand gesture by raising their right hand from a lower position with fingers extended and palm facing forward, moving it upward to position in front of their face covering it, holding it there briefly, then lowering the hand to shoulder level while maintaining the open palm facing forward and fingers upward, and holding that pose.","The user performs two combined hand gestures in sequence, first raising the left hand to head level with the index finger extended upwards, other fingers curled, and palm facing forward while holding the pose, then forming a finger gun with the right hand by extending the index finger forward towards the camera and thumb upwards with other fingers curled, before lowering both hands.","The user raises their left hand upward with fingers extended and palm facing forward, then lowers and reorients it flat to draw the edge of the hand horizontally across the throat from left to right while maintaining contact with the neck."
p_006,"The user performs a single gesture by raising the right hand from a lower position, forming a pose with the index and pinky fingers extended upwards, middle and ring fingers curled inward held by the thumb, palm oriented towards the camera, and moving the hand upward to head level before lowering it.","The user's right hand raises with the index finger and thumb extended while the other fingers curl, points forward toward the camera, then quickly pulls back and rotates slightly to orient the thumb upward with fingers remaining curled, before lowering.","The user performs two combined hand gestures in sequence: first, the right hand with index finger extended and other fingers curled points forward toward the viewer, then moves sideways to touch the temple with the index finger before opening the palm facing outward and flicking the hand upward and away from the head; second, the right hand extends forward with index finger outstretched horizontally and thumb raised vertically while other fingers are curled, oriented toward the viewer, then the thumb folds down onto the fingers as the hand recoils slightly before lowering and crossing with the left hand in front of the body.","The user performs two combined hand gestures in sequence: first, the right hand forms a gun shape with thumb extended upward and index finger forward while the other fingers are curled, oriented toward the camera initially and then moving sideways to touch the index fingertip to the right temple; second, both hands press together with palms facing each other and fingers extended upward in front of the chest, followed by the right hand extending forward with index finger pointed and other fingers curled, then opening the palm facing forward with fingers extended while raising the arm and moving the hand side to side.","The user raises their right hand from a resting position, forms a closed fist oriented upward, then opens it into a forward-facing palm with fingers extended before adjusting to a pose where the index and middle fingers are together and extended, the ring and pinky fingers are together and extended, and the thumb is extended outward, creating a split between the middle and ring fingers while held in front of the face, and finally closes it back into a fist before lowering.","The user performs two combined hand gestures in sequence with the right hand: first, raising it to face level while forming a circle with the thumb and index finger, other fingers extended upwards, palm facing forward, and moving it horizontally to the right; second, curling the fingers into a fist with the index finger extended pointing to the right while the arm is outstretched, then opening the palm facing forward and raising the hand upwards above the head before lowering it.","The user raises their right hand from below with the palm facing forward and fingers extended upward, lifts it to head height while keeping the hand open and oriented toward the camera, performs a slight side-to-side waving motion, and then lowers it back down.","The user raises their right hand from below with the index finger extended and other fingers curled pointing forward toward the camera, then opens the hand with fingers spread and palm facing forward, moves it to touch the right temple with the side of the hand, and subsequently moves the open hand side to side horizontally at head height with the palm facing forward before lowering it."
p_007,"The user raises their right hand with the index finger extended, palm facing somewhat downward, and moves it upward to touch the tip of the index finger to the side of their head near the temple, then pulls the hand away and transitions to extending the middle finger upward with the other fingers folded and thumb tucked in, holding it oriented vertically in front of the body.","The user's right hand, with fingers extended and joined to form a flat edge, is raised palm-forward to head level near the right temple, then swiped horizontally leftward across the throat with the hand's edge interacting with the neck area, before lowering.","The user raises their right hand upward to place the extended index finger vertically across their lips while curling the other fingers inward with the palm facing the face, holds this pose briefly, then lowers the hand and extends it forward with the palm facing outward and fingers spread apart.",The user does not perform any hand gestures.,"The user performs a sequence of hand gestures with the right hand starting near the ear with thumb extended toward the ear and pinky toward the mouth while other fingers are curled, then transitioning to extending the index finger upward with palm facing forward, followed by pointing the extended index finger directly at the temple, and finally thrusting the hand forward with index finger extended toward the viewer, thumb raised upward, and other fingers curled, before pulling back slightly.","The user raises their right hand from chest level toward the side of their head, starting with the index finger extended upward and other fingers curled, then opening the hand fully with all fingers extended and slightly spread, palm facing forward, holding it briefly at ear height before closing the fingers and lowering the hand.","The user raises their right hand from a resting position to chest height, extending the index finger vertically upwards while curling the other fingers into a loose fist with the palm oriented forward, holds this pose steadily for several seconds, and then lowers the hand back to rest.","The user raises the right hand to chest level with fist closed and thumb extended upward, palm facing forward, then raises the left hand similarly to join it, holding both hands in that pose before lowering them."
p_008,"The user performs a gesture with the right hand starting as a closed fist that opens into a flat palm facing forward with fingers extended upward while raising the arm sideways to head height, holds the pose, then swiftly lowers the hand in a downward chopping motion toward the center.","The user raises their left hand with palm facing forward and fingers extended upward to the side of their head, holds the pose briefly, then closes the hand into a fist and moves it downward quickly toward the table.","The user raises their left hand to touch their throat with a loosely fisted pose and thumb upward, draws it horizontally across their neck and mouth while touching the skin to the right side of their face, raises it to touch their right temple with an open hand and palm facing forward, flicks the hand forward and outward, then forms a circle with their thumb and index finger while extending the middle, ring, and pinky fingers upward, holding the pose in front of their face with palm facing the camera.","The user raises the right hand from a low position to the side of the head, extending the thumb upward and pinky downward while curling the index, middle, and ring fingers, orienting the palm toward the face with the thumb near the ear and pinky near the mouth, holds the pose briefly, then moves the hand inward while closing it into a fist to touch the tip of the nose with the side of the fist, and finally lowers the hand to place the open palm on the chest.","The user raises their left hand from the lap with fingers extended and palm oriented forward toward the camera up to face level, then closes the hand into a fist and shakes it up and down before returning to rest.","The user raises their left hand from a resting position, forms a finger gun pose with the index finger extended forward toward the camera, thumb extended upward, and other fingers curled, palm facing inward, then rotates the wrist to direct the index finger sideways to their right temple while bending the thumb down to touch the index fingertip, holds briefly in contact with the head, and lowers the hand.","The user raises their right hand from a clasped position with fingers extended and together, palm facing forward and oriented toward the camera, moves it side to side horizontally several times at face level with the arm bent at the elbow, then lowers it back to the initial position.","The user moves their left hand side to side multiple times at head level with the palm facing forward and fingers extended, then curls the fingers into a fist while keeping the thumb extended upward, maintaining the palm oriented forward."
p_009,"The user's right hand starts with the index finger extended forward and thumb raised upward while other fingers are curled, palm facing downward, extends outward toward the camera, then moves to point the index finger at the right temple with the hand touching the side of the head, followed by the thumb snapping downward.","The user raises their right hand, extends the arm forward with the index finger pointed horizontally towards the camera, thumb initially extended upward, and other fingers curled, then moves the thumb downward to fold against the curled fingers while keeping the index extended, before lowering the hand.","The user raises their right hand from the table with palm open and facing forward toward the camera, then curls the fingers into a fist while extending the index finger to point directly forward, holds the pointing pose briefly, and lowers the hand back to the table.","The user's left hand rises from the table in a closed fist, extends the index finger pointing upward, opens fully with palm facing forward and fingers spread, then closes to extend the index finger pointing forward, forms a fist again, and lowers back to the table.","The user performs two combined hand gestures in sequence with the right hand: first raising it with fingers extended and together, palm facing outward, moving upward to position the flat hand at the forehead level in contact with the temple area, then transitioning the hand pose by extending the index finger and thumb while curling the other fingers, pointing this formation forward toward the camera before bending the arm to direct the index finger toward their own temple.","The user performs two combined hand gestures in sequence with the right hand: the first involves raising the arm to form a pose with thumb extended upward and index finger extended forward while other fingers are curled, oriented toward the camera, then bending the arm to direct the same pose toward the temple with the index finger touching the side of the head, followed by closing to a fist at the forehead and extending the index finger upward to touch the mouth; the second involves raising the arm to form the same thumb-up and index-forward pose oriented toward the camera, then opening the hand with fingers extended and bringing the flat palm to touch the forehead, followed by extending the index finger upward near the face.","The user raises the right hand from low to head level beside the face, with palm oriented forward, fingers extended and joined together, holds the pose briefly, then lowers the hand while transitioning to a pointed index finger extension before returning to rest.","The user performs two combined hand gestures with the right hand in sequence: first raising it from a resting position with the palm facing forward toward the camera, fingers extended and spread apart while extending the arm outward; then transitioning by curling all fingers except the index finger, which extends to point directly toward the camera while holding the arm extended."
