id_video,c1_description,c2_description,c3_description,c4_description,c5_description,c6_description,c7_description,c8_description
p_000,"One hand, palm open facing down, raising upwards, once + One hand, index finger extended up, pointing upwards, stationary","One hand, index and middle fingers extended facing forward, raising upwards, once + One hand, index finger extended facing down, pointing downwards, stationary","One hand, hand closed facing inwards, moving upwards towards the right cheek/face, once + One hand, index and thumb fingers pinch facing inwards, holding near the right eye, stationary.","One hand, index and thumb fingers pinch facing in, moving towards and touching cheek inwards, once + One hand, palm open facing forward, raised upwards and held, stationary","One hand, palm open with all fingers spread facing forward, raised upwards once + One hand, all fingers curled into a loose fist facing forward, moving up-and-down repeatedly.","One hand, all fingers closed facing forward, raised upwards, once + One hand, palm open facing forward, moving downwards, once","One hand, palm and all fingers open facing forward, moving upwards, once + One hand, palm and all fingers open facing forward, moving downwards, once.","One hand, palm open facing front, moving upwards, once + One hand, index and thumb fingers pinch facing front, moving downwards, once"
p_001,"One hand, all fingers and palm curved facing inwards, raising upwards to touch the right ear, once.","One hand, palm open facing in, moving upwards to touch the side of the head/ear, stationary + One hand, index finger extended facing up, pointing upwards then moving outwards and downwards, once","Two hands, palms open facing forward, raising and crossing inwards, once + Two hands, hands open curved facing inwards, moving up and down, repeatedly",No hand gesture performed.,"One hand, index finger extended facing right, pointing rightwards, stationary + One hand, index finger extended facing down, pointing downwards, once","One hand, index finger extended with palm in facing forward, moving upwards then forwards, once.","One hand, palm open facing forward, raised beside face, stationary.","One hand, open palm with all fingers spread facing forward, waving leftwards-rightwards, repeatedly"
p_002,"One hand, index finger extended facing up, raised inwards to touch the cheek, stationary + One hand, index finger extended facing up, raised and pointing upwards away from the face, stationary","One hand, index finger extended facing inwards, moving to touch the cheek near the eye, once + One hand, index finger extended facing down, pointing and tapping downwards repeatedly, repeatedly","One hand, index finger extended touching inwards on cheek near ear, holding against the side of the head inwards, stationary + Two hands, palms open facing up, raising upwards and spreading apart outwards, once","One hand, index finger bent facing inwards, touching the cheek, stationary + One hand, index finger extended facing up, pointing upwards, stationary","One hand, index and middle fingers extended with palm forward, raising toward the face and brushing across then touching the chin, once + Two hands, open palms facing up, spreading outward to the sides and then held apart, once","One hand, index and middle fingers extended facing in, touching mouth then moving outwards, once + One hand, thumb finger extended up with back hand facing front, raised upwards, stationary","One hand, index finger extended up, raised and held upwards, stationary.","Two hands, palms open facing up, raising upwards and spreading apart, once."
p_003,"One hand, index finger pointing up palm in, touching face near mouth then moving away downwards, once","One hand, hand closed fist facing in, holding at mouth/face, stationary + One hand, index finger extended facing down, moving downwards from face, once","One hand, index finger extended upward with palm in, moving upwards to touch mouth, once","One hand, palm with all fingers open facing forward, waving leftwards-rightwards, repeatedly + One hand, index and thumb fingers extended in an L-shape facing inward, touching the cheek, stationary.","One hand, palm open facing forward, moving upwards and leftwards, once.","One hand, palm open facing forward, raised and waving left-right, repeatedly.","One hand, index finger extended up facing forward, raising upwards, once + One hand, index finger extended up facing forward, holding near head, stationary","One hand, open palm with all fingers extended facing forward, waving leftwards-rightwards, repeatedly + One hand, open palm with all fingers extended facing down, swiping leftwards-rightwards, repeatedly."
p_004,"One hand, index and thumb fingers pinch facing inwards, holding at the ear, stationary + One hand, index and thumb fingers pinch facing forward, moving downwards, once","One hand, all fingers slightly curved facing inwards, moving upwards to the side of the face, once + One hand, palm open facing down, swiping leftwards and rightwards at chest level, repeatedly","One hand, all fingers open curved C facing forward, raising upwards, once + One hand, index and thumb fingers pinch facing forward, holding near face, stationary","One hand, palm open facing forward, raised to head level, stationary + One hand, index and thumb fingers pinch facing forward, held near the mouth at head level, stationary","One hand, palm open facing in, moving upwards to touch the forehead, repeatedly + One hand, palm open facing forward, swiping forwards away from the body at chest level, repeatedly.","One hand, palm open facing forward, raising upwards and outwards, once + One hand, palm open facing forward, waving leftwards-rightwards, repeatedly","One hand, index finger point up, raising upwards, once + One hand, index finger point up, moving downwards, once","Two hands, index and thumb fingers extended with palms facing each other and forward, holding to form a rectangular frame in front of the face, stationary + One hand, fist closed with back hand facing forward, raised and held beside the head, stationary"
p_005,"One hand, palm open facing up, rotating at the wrist leftwards-rightwards, repeatedly.","One hand, palm open facing forward, raising upwards, once + One hand, palm open facing down, moving downwards, once","One hand, palm open facing right, swiping sideways leftwards and rightwards, repeatedly + One hand, palm open facing inwards, held raised in front of the chest, stationary","One hand, palm open facing front, raised upwards and moving leftwards, once","One hand, palm open facing forward, moving forwards, once.","One hand, palm open facing forward, raising and moving forwards in front of the face, once + One hand, palm open facing left, held raised near the head, stationary","One hand, index finger extended up with back hand facing forward, held raised pointing upwards, stationary + One hand, palm open facing up, waving leftwards-rightwards, repeatedly.","One hand, palm open facing up, waving leftwards and rightwards, repeatedly + One hand, hand closed in a fist facing front, moving up and down, repeatedly."
p_006,"One hand, index finger pointing up facing up, raised upwards, stationary.","One hand, closed hand (fist) facing forward, moving upwards and downwards, repeatedly.","Two hands, right palm open facing down above and left palm open facing down forward, right hand moving in an arc downwards-leftwards toward the left hand, once + Two hands, palms stacked facing down with right on top of left forward, holding together, stationary","Two hands, all fingers interlacing with palms facing inward, closing together inwards, once + One hand, palm open facing outward, waving leftwards-rightwards, repeatedly","One hand, palm with all fingers spread facing forward, raising upwards then lowering downwards, once.","One hand, palm open facing forward, moving upwards, once + One hand, palm open facing forward, waving leftwards-rightwards, repeatedly","One hand, palm open facing forward, raising upwards, once + One hand, palm open facing forward, moving downwards, once","One hand, palm open with all fingers spread facing forward, waving leftwards-rightwards, repeatedly."
p_007,"One hand, index finger extended facing in, touching the right ear, stationary + One hand, index finger extended facing up, raised upwards beside the head, stationary","One hand, palm with all fingers open facing forward, raising upwards to face level, once + One hand, palm with all fingers open facing down, moving downwards from face level, once","One hand, palm open facing in, raised to cover and hold against the right cheek, stationary + One hand, all fingers closing into a fist facing in, lowering downwards from chest level, once",No hand gesture performed.,"One hand, index finger extended facing inwards, touching the right side of the head near the ear, once + One hand, index finger extended facing forward, pointing moving outwards then tapping downward, repeatedly","One hand, index finger extended pointing up with palm inward, raising upwards, once + One hand, all fingers open and spread with palm facing front, holding raised up, stationary","One hand, index finger extended up with palm facing front, raised and pointing upwards, stationary.","Two hands, thumb fingers extended up facing up, raising upwards, once + Two hands, thumb fingers extended up facing up, holding in front, stationary."
p_008,"One hand, palm open facing down, raising upwards, once + One hand, palm open facing down, swiping downwards, once","One hand, palm open facing down, raising upwards to head level, once + One hand, hand closed facing front, moving up and down, repeatedly","One hand, closed fist with palm facing down, moving vertically up and down above the table, repeatedly + One hand, index and thumb fingers forming a ring with other fingers extended and palm facing forward, raised and held beside the head, stationary","One hand, index finger extended with palm facing in, moving upwards to the right cheek and rubbing in small inwards strokes, dynamic gesture performed repeatedly.","One hand, open palm facing forward, waving side-to-side leftwards-rightwards, repeatedly + One hand, index finger extended facing up, pointing upwards, stationary.","One hand, hand open facing forward, raising and moving forwards, once + One hand, index and thumb fingers pinch facing forward, closing inwards, once","One hand, palm with all fingers open facing forward, raised and waving leftwards-rightwards, repeatedly + One hand, palm open facing down, moving downwards and tapping up-down, repeatedly.","One hand, palm open facing forward, waving leftwards-rightwards, repeatedly + One hand, fist closed facing down, moving downward to the table, once"
p_009,,"One hand, index finger extended facing forward, moving forwards, once + One hand, all fingers closed palm down, moving downwards, once","One hand, palm open with fingers spread facing forward, raising upwards and forwards, once + One hand, all fingers closed in a fist with knuckles forward, moving vertically up and down, repeatedly","One hand, palm open facing forward, raised upwards, once + One hand, thumb finger extended up with back hand facing forward, held in place, stationary","One hand, palm open facing front, waving leftwards and rightwards, repeatedly + One hand, hand closed facing down, moving downwards, repeatedly.","One hand, palm open facing up, raising and extending forwards, repeatedly + One hand, thumb finger extended up on closed hand facing front, raising upwards to face level, repeatedly","One hand, palm open facing forward, raised upwards and briefly held, once + One hand, hand closed facing down, moving downwards, once","One hand, palm open facing forward, raised forwards, stationary + One hand, hand closed facing forward, moving downwards repeatedly, repeatedly."
