id_video,c1_description,c2_description,c3_description,c4_description,c5_description,c6_description,c7_description,c8_description
p_000,"One hand, open hand with all fingers extended, raised upwards once + One hand, index finger pointing upwards, stationary.","One hand, all fingers closed in a fist with the index finger extended pointing front, raised upwards and downwards repeatedly.","One hand, all fingers closed and palm facing front, moving upwards repeatedly. + One hand, index and thumb fingers touching forming a circle and other fingers extended and palm facing front, holding stationary.","One hand, all fingers open and extended, facing front, moving upwards, repeatedly + One hand, index finger extended, facing front, moving downwards, once.","One hand, open hand with all fingers extended, moving forwards, repeatedly.","One hand, all fingers extended and open, front, moving repeatedly, forwards.","1, hand, open, front, waving, repeatedly.","One hand, open hand, front, moving upwards and downwards repeatedly. + One hand, index finger, front, pointing forwards repeatedly."
p_001,"One hand, palm open and facing front, raised and going to the face, once.","One hand, palm open and facing front, raised upwards once + One hand, index finger extended and pointing upwards, moving towards the head once.","Two hands, palms open and facing up, moving upwards and downwards repeatedly.","One hand, palm open and facing up, raised upwards, once.","One hand, index finger extended and pointing front, moving leftwards, once + One hand, index finger extended and pointing front, moving downwards, once.","One hand, open palm, front, raised upwards once + One hand, all fingers, front, going to the mouth once.","One hand, open palm facing forward, raised upwards, once.","One hand, open hand, raised and moving upwards and downwards repeatedly."
p_002,"One hand, index finger extended and pointing upwards, raising upwards, repeatedly.","One hand, index finger extended pointing down, moving downwards repeatedly.","One hand, index finger extended and pointing up, raised upwards once + One hand, palm open and facing up, moving upwards and outwards repeatedly.","One hand, index finger pointing up and front, raised upwards, once + One hand, all fingers open and front, moving leftwards and rightwards, repeatedly.","One hand, open hand, moving leftwards, once + Two hands, open hands, moving upwards, repeatedly.","1, One hand, hand with thumb finger extended and all other fingers closed, front, raising upwards, once.","One hand, index finger extended and pointing upwards, raised upwards, stationary.","Two hands, palms open and facing up, moving upwards and outwards, once."
p_003,"One hand, all fingers extended and together, front, going upwards to the face, once.","One hand, index finger extended and pointing down, going downwards, once.","One hand, index finger extended and pointing upwards, going to the mouth, once.","One hand, open palm, front, moving repeatedly, forwards.","One hand, open hand with palm front, moving forwards, once + One hand, open hand with palm down, moving leftwards and downwards, repeatedly.","One hand, palm open and facing front, waving rightwards and leftwards repeatedly.","One hand, index finger pointing upwards, raised upwards, once + One hand, all fingers closed in a fist facing front, moving downwards, once.","One hand, open hand, moving upwards and downwards repeatedly."
p_004,"One hand, open hand, raised upwards, once + One hand, all fingers, touching the ear, stationary + One hand, all fingers, moving downwards, repeatedly.","One hand, open palm facing downwards, moving downwards repeatedly.","One hand, all fingers extended and palm facing forward, raising upwards, once.","One hand, all fingers extended and pointing upwards, raising upwards once + One hand, all fingers extended and pointing forwards, moving repeatedly downwards.","One hand, open hand, raised upwards, repeatedly + One hand, open hand, moving leftwards, repeatedly.","One hand, open hand with all fingers extended, facing front, moving repeatedly upwards and downwards, repeatedly.","One hand, index finger pointing up, raised upwards, once + One hand, index finger pointing down, going downwards, once.","Two hands, palms open and facing each other, moving together to touch each other in front of the face, once + One hand, hand closed in a fist and facing forward, raised upwards, once."
p_005,"One hand, palm open and facing forward, moving leftwards and rightwards, repeatedly.","One hand, open hand with all fingers extended, raising upwards, once + One hand, open hand with all fingers extended, moving downwards, repeatedly.","One hand, open palm facing forward, moving repeatedly from right to left, repeatedly.","Two hands, palms open and facing each other, moving together and apart, repeatedly.","Two hands, palms open and facing each other, moving repeatedly together and apart, repeatedly + One hand, palm open and facing forward, moving forwards, repeatedly.","1, Two hands, open hands with fingers stacked, stationary. + 2, One hand, open hand with fingers extended, going forwards, once.","Two hands, palms open and facing each other, moving upwards and downwards repeatedly, repeatedly + One hand, index finger extended and pointing upwards, raised upwards, stationary.","One hand, palm open and facing forward, moving upwards and downwards repeatedly."
p_006,"One hand, index finger, pointing up, raised upwards, once + One hand, hand, open, moving towards the face, once.","One hand, closed hand with index finger extended and pointing front, moving downwards, repeatedly.","Two hands, closed hands with all fingers touching, front; moving up and down repeatedly; repeatedly.","One hand, open hand, raised upwards repeatedly.","One hand, open palm facing forward, moving forwards, once.","One hand, open hand, moving leftwards and rightwards, repeatedly.","One hand, open hand, raised and waving, repeatedly.","One hand, open hand, moving upwards and downwards repeatedly."
p_007,"One hand, index finger pointing up and front, raised to the front and upwards, once + One hand, index finger pointing up and front, moving downwards, repeatedly.","One hand, open palm, front; raising upwards repeatedly.","One hand, open hand, front; going to the face, once.","One hand, index finger, pointing front, moving leftwards, once.","One hand, index finger extended and pointing front, moving downwards, once.","One hand, index finger extended and pointing up, raised upwards, once + One hand, all fingers extended and palm open facing front, opening outwards, once.","One hand, open hand with all fingers extended, moving upwards, once.","Two hands, open palms with thumbs extended upwards, raised upwards, stationary."
p_008,"One hand, open hand with all fingers extended, moving upwards repeatedly.","One hand, open hand with all fingers extended, moving upwards and downwards repeatedly.","One hand, open hand, moving repeatedly, leftwards and rightwards.","One hand, closed hand with all fingers, front, moving upwards repeatedly; + One hand, open hand with palm, front, stationary.","One hand, open palm, front, moving upwards repeatedly.","One hand, closed hand with all fingers, moving forwards, repeatedly.","One hand, open hand, moving upwards and downwards repeatedly.","One hand, open hand, raised and moving upwards and rightwards, repeatedly + One hand, open hand, moving downwards, repeatedly."
p_009,"One hand, open hand with all fingers extended, going forwards, once.","One hand, all fingers extended and pointing front, going forwards, repeatedly.","One hand, open hand with palm front, going forwards, once + One hand, closed hand with fist front, going forwards, repeatedly.","One hand, hand open, raised forwards, once + One hand, hand closed in a fist, moving repeatedly forwards, repeatedly.","One hand, open palm, front, moving upwards and downwards repeatedly.","One hand, open palm, front, going forwards, once + One hand, closed fist, front, going towards the face, once.","One hand, open hand, raised upwards, once + One hand, all fingers, pointing forwards, repeatedly.","One hand, open hand with palm front, going forwards, once + One hand, closed hand with index finger extended pointing front, moving forwards, repeatedly."
