id_video,c1_description,c2_description,c3_description,c4_description,c5_description,c6_description,c7_description,c8_description
p_000,"One hand, open palm with fingers extended facing forward, waving side to side repeatedly + One hand, index finger extended pointing upward, holding stationary.","One hand, closed fist, moving up and down repeatedly.","One hand, fingers curved in a loose pinch position, moving upward toward the face and making circular gestures in front of it, repeatedly.","One hand, open palm with fingers extended, waving side to side in front of body, repeatedly.","One hand, open palm facing forward, waving side to side in front of body, repeatedly.","One hand, open palm facing forward, moving in a waving motion from side to side, repeatedly.","One hand, palm open with fingers extended facing forward, waving side to side repeatedly.","One hand, open palm facing forward, waving side to side in front of body, repeatedly."
p_001,"Two hands, open palms facing forward, moving upward and outward in a presenting or explaining motion, repeatedly.","One hand, palm and fingers curved, moving upwards to touch the side of face/ear and holding stationary + Two hands, open palms facing forward, moving upwards and outwards repeatedly.","Two hands, open palms and extended fingers crossing in front of chest, moving diagonally inward and outward in alternating patterns, repeatedly.","Two hands, palms and fingers in a slightly curved position facing downward, moving slightly in a subtle adjusting motion, stationary.","Two hands, open palms facing forward, moving upwards and outwards in a spreading motion, repeatedly.","One hand, index finger extended pointing upward, moving in a circular motion rightwards then leftwards, repeatedly.","One hand, open palm facing outward, waving side to side in front of body, repeatedly.","Two hands, open palms facing forward, moving up and down in alternating motions repeatedly."
p_002,"One hand, index finger extended pointing upward, moving in circular motions repeatedly.","One hand, closed fist, waving up and down in front of the body, repeatedly.","One hand, index finger extended pointing upward, moving upward and slightly forward, once + Two hands, palms open facing upward, moving outward to sides at waist level, once.","One hand, index finger extended pointing upward, moving up and down repeatedly.","Two hands, open palms facing outward, moving outwards and then inwards repeatedly.","One hand, index finger extended pointing forward, moving toward face, once + One hand, thumb extended pointing upward, held stationary.","One hand, index finger extended upward with other fingers curled, raising and holding upward, stationary.","Two hands, open palms facing forward, moving outward to the sides, once."
p_003,"One hand, palm and fingers touching face, moving across different parts of the face, repeatedly.","One hand, palm and fingers curved, moving toward and touching face, repeatedly.","One hand, index finger extended and pointing upward, touching the face near the nose/mouth area, holding stationary + One hand, closed hand with knuckles facing outward, moving back and forth near the face, repeatedly.","Two hands, open palms facing forward, moving in circular motions in front of the face, repeatedly.","Two hands, palms and fingers open, moving in circular motions across the chest area, repeatedly + One hand, palm open flat, moving sideways in front of face, once.","One hand, open palm facing outward, moving in circular motions in front of the face, repeatedly.","Two hands, arms crossed in front of chest in stationary position + One hand, index finger extended upward pointing position, moving up and down repeatedly.","Two hands, arms crossed with forearms stacked horizontally in front of body, moving in circular adjusting motions repeatedly + One hand, open palm facing outward, waving side to side repeatedly."
p_004,"One hand, index and middle fingers extended in V-shape, moving upward near the face, repeatedly + One hand, open palm, waving side to side at face level, repeatedly.","One hand, index and middle fingers extended in V-shape, moving from near the face outward and slightly downward, repeatedly.","One hand, index finger extended pointing upward, moving in circular motion repeatedly + One hand, fingers curved in pinching position, moving toward face and touching cheek, once.","One hand, index finger extended and pointing upward, moving in circular motions, repeatedly + One hand, open palm facing forward, raised and moving side to side in a waving motion, once.","One hand, open palm facing forward, moving upwards and outwards repeatedly + Two hands, open palms facing forward, moving back and forth in alternating pattern repeatedly.","Two hands, open palms facing forward, moving outward and upward in a sweeping motion, repeatedly + One hand, fingers curved and pinched together, moving toward face and touching nose, once.","One hand, index finger extended pointing upward, moving in circular motions, repeatedly + Two hands, all fingers extended with palms facing forward, moving up and down alternately, repeatedly.","Two hands, palms facing each other in front of chest with fingers extended, moving together and apart in a clapping motion, repeatedly + One hand, closed fist with index finger extended upward, moving upward in a pumping motion, repeatedly."
p_005,"One hand, open palm facing outward, moving in a waving motion from side to side, repeatedly.","One hand, palm open and fingers extended facing forward, waving side to side repeatedly + One hand, palm and fingers moving downward in a chopping motion repeatedly.","One hand, open palm facing outward, waving side to side in leftward and rightward movements, repeatedly + One hand, open palm facing inward, moving toward face, once.","Two hands, palms touching with fingers interlocked in front, moving in circular motion repeatedly + One hand, open palm facing outward, moving in sweeping motion from center to side repeatedly.","Two hands, palms and fingers closed in a clasping position, moving in circular motions outwards, repeatedly + One hand, palm open with fingers extended, raised forward toward camera, stationary.","Two hands, palms and fingers clasped together in front, rotating in circular motion, repeatedly + One hand, palm open with fingers extended facing forward, raised and held in stop position, stationary.","Two hands, palms and fingers open, clapping together repeatedly + One hand, index finger extended pointing upward, moving up and down repeatedly.","One hand, open palm facing down, moving horizontally from side to side repeatedly + One hand, open palm facing down, moving horizontally forward and backward repeatedly."
p_006,"One hand, index finger extended pointing upward, moving up and down repeatedly.","One hand, closed fist, moving upwards and downwards in a waving motion, repeatedly.","Two hands, closed fists, moving up and down in alternating motions, repeatedly.","Two hands, open palms facing forward, waving up and down in alternating motions, repeatedly.","One hand, palm open facing forward, raised upwards in front of the face, once.","One hand, palm open facing forward, waving side to side repeatedly.","One hand, open palm facing forward, waving side to side upwards, repeatedly.","One hand, open palm facing forward, waving side to side in the air, repeatedly."
p_007,"One hand, index finger extended pointing upward, moving upward and then held stationary, once + One hand, closed hand with fingers curled, moving in circular motion near the face, repeatedly.","One hand, palm and fingers extended flat, moving from chest level to forehead in a saluting motion, stationary.","One hand, palm and fingers positioned flat against face, holding stationary + One hand, open palm facing forward, moving upward and downward repeatedly.","No hand gestures are performed throughout the sequence of images, as the person remains in a stationary position with hands not visible in the frame.","One hand, closed fist with index finger extended pointing upward, moving up and down repeatedly.","One hand, closed fist positioned near chest, moving upward and opening to spread fingers with palm facing forward, once + One hand, closed fist positioned near chest, moving upward while opening to spread fingers with palm facing forward, repeatedly.","One hand, index finger extended pointing upward, raised and held stationary.","Two hands, closed fists with thumbs extended upward, moving up and down in front of the chest, repeatedly."
p_008,"Two hands, palms facing down and fingers extended, moving in circular motions outwards then transitioning to one hand, palm open and facing down, moving in a chopping motion downwards repeatedly.","Two hands, palms open and facing forward, moving upwards and outwards in a waving motion repeatedly + One hand, palm open and facing down, holding stationary while the other hand moves rapidly in circular motions repeatedly.","One hand, palm open facing forward, moving from lower position upward across face, repeatedly + Two hands, palms open facing forward, moving outward and upward with fingers spread, repeatedly.","One hand, fingers curved and hand positioned near face, moving upward and touching the side of face repeatedly + Two hands, palms facing each other in front of body, moving up and down alternately repeatedly.","Two hands, palms open and fingers extended facing forward, moving from resting position on table to raised position in front of face, repeatedly.","Two hands, fingers curved in loose fist position facing forward, moving rapidly in circular motions forward and outward, repeatedly.","Two hands, palms open facing forward, moving upwards and sideways in a waving motion, repeatedly + Two hands, palms facing each other, moving together and apart in a clapping motion, repeatedly.","Two hands, open palms facing outward, waving side to side repeatedly."
p_009,"One hand, fingers curved and spread with palm facing forward, moving in circular patterns in front of the body repeatedly.","One hand, closed fist, moving in circular motions forward, repeatedly.","One hand, closed fist, moving forward with punching motion, repeatedly + One hand, open palm with fingers extended, moving outward with spreading motion, once.","One hand, closed fist, moving upwards and downwards in front of the body, repeatedly + One hand, palm open with fingers spread, raised forward in front of the body, once.","One hand, open palm facing forward, moving upwards and then downwards in a waving motion, repeatedly.","One hand, open palm facing outward, rotating in circular motion in front of body, repeatedly + One hand, closed fist moving upward toward face, once.","One hand, palm open and facing forward, raised upwards and held stationary + One hand, closed fist, moving downwards repeatedly.","Two hands, palms open and facing forward, moving outwards and upwards in front of the body + One hand, closed fist, moving forward and slightly downward, repeatedly."
