id_video,c1_description,c2_description,c3_description,c4_description,c5_description,c6_description,c7_description,c8_description
p_000,"One hand, hand open palm facing forward, raised upwards, dynamic gesture performed once + One hand, hand closed with index finger extended pointing up, holding stationary, static gesture with stationary hand position.","One hand, closed fist with thumb extended up, fist pose with thumb pointing up, facing front; raised and holding, upwards; static gesture with stationary hand position + One hand, open hand, palm open extended, facing front; swiping, downwards; a dynamic gesture performed once.","One hand, palm open extended facing inwards, raised to touch mouth upwards, a dynamic gesture performed once + One hand, index and thumb fingers pinch pose facing inwards, pressing on cheek without movement, a static gesture with stationary hand position with small variances in hand pose or position stationary.","One hand, index and thumb fingers pinch pose facing inwards, raised upwards touching ear inwards, dynamic once + One hand, palm open extended facing forward, swiping leftwards outwards, dynamic once.","One hand, palm open facing forward, raised upwards, dynamic once + One hand, hand closed fist facing forward, holding in place, static stationary.","One hand, index and middle fingers extended spread in V shape palm facing forward, raised holding at face level upwards, dynamic gesture performed once.","One hand, palm with all fingers extended open facing forward, raised, upwards, stationary.","One hand, palm open facing forward, raised upwards to face level, dynamic performed once + One hand, index finger and thumb extended with other fingers curled facing forward, pointing forwards with thrusting forwards, dynamic performed once."
p_001,"One hand, thumb and pinky fingers extended with other fingers closed forming a phone shape, back hand facing forward; raised positioning thumb near mouth and pinky near ear, upwards then holding; a dynamic gesture performed once.","One hand, palm and fingers open touching face facing inward, positioned holding on cheek, stationary + One hand, index finger extended pointing facing up, raised pointing upwards, stationary.","Two hands, open palms facing forward crossed at wrists, holding positioned crossed in front of chest, stationary + Two hands, open palms facing each other, clapping together in front of chest, dynamic once.",The user does not perform any gesture.,"One hand, index and thumb fingers extended with other fingers closed in point pose facing forward initially, raised pointing forwards then turning to point leftwards touching head, a dynamic gesture performed once.","One hand, index finger extended point facing up, raised upwards, a dynamic gesture performed once + One hand, index finger extended point facing inwards, moving inwards touching nose, a dynamic gesture performed once.","One hand, open hand with fingers extended and palm facing forward, raising upwards, a dynamic gesture performed once + One hand, fist closed with thumb extended upwards, holding stationary, a static gesture with stationary hand position with small variances.","One hand, open palm facing forward, raised and waving, leftwards and rightwards, dynamic gesture performed repeatedly."
p_002,"One hand; index finger extended point, facing up; raising to touch nose with index finger, upwards; dynamic gesture performed once + One hand; index finger extended point, facing up; moving up and down, upwards and downwards; dynamic gesture performed repeatedly.","One hand, index finger extended pointing facing inwards, raised to touch head then moving outwards leftwards, dynamic gesture performed once + One hand, hand in closed fist and index finger extended alternating facing forward, alternating between fist and pointing while moving downwards, dynamic gesture performed repeatedly.","One hand; index finger extended other fingers curled, pose closed with index up, palm facing in; raised holding touching ear, upwards; static gesture with stationary hand position with small variances in hand pose or position + Two hands; palms open all fingers extended, pose open, facing forward; raised holding, upwards; static gesture with stationary hand position with small variances in hand pose or position.","One hand, thumb and pinky extended other fingers curled facing inwards, holding at side of head with thumb to ear and pinky to mouth, stationary + One hand, index finger extended other fingers curled facing forward, pointing upwards in front of face, stationary.","One hand, index and middle fingers extended in V shape other fingers curled palm facing forward, raising upwards to face level holding, dynamic performed once + Two hands, open hands palms facing up, raising and spreading apart outwards, dynamic performed once.","One hand, index finger extended with hand closed pointing up, facing inward, raised touching temple upwards, a dynamic gesture performed once + One hand, thumb finger extended with hand closed pointing up, facing forward, holding forwards, a static gesture with stationary hand position with small variances in hand pose or position.","One hand, index finger extended pointing up with other fingers closed palm facing inward, raised pointing upwards, stationary.","Two hands, open palms facing forward, raised moving upwards and outwards, a dynamic gesture performed once."
p_003,"One hand, index finger extended with other fingers curled palm facing inwards, raised touching chin with index finger sliding upwards to mouth, a dynamic gesture performed once.","One hand, index finger extended from closed fist, pointing inwards; rotating in small circular motion touching temple, clockwise; dynamic gesture performed repeatedly.","One hand, index finger extended pointing up other fingers curled palm facing left, raised upwards holding touching mouth in front of face, a static gesture with stationary hand position with small variances in hand pose or position once + One hand, index finger extended pointing up other fingers curled palm facing left, moved downwards holding touching chin in front of face, a static gesture with stationary hand position with small variances in hand pose or position once.","One hand, index and thumb fingers in pinch pose facing forward, pressing together and spreading apart inwards and outwards, dynamic gesture performed repeatedly + One hand, index finger extended pointing up facing forward, holding position upwards, static gesture with stationary hand position with small variances in hand pose or position.","One hand, palm open facing forward, swiping leftwards in front of face, dynamic gesture performed once + One hand, palm open facing inwards, pressing on face stationary, static gesture with stationary hand position.","One hand, open hand with fingers extended palm facing forward, raised upwards then lowered downwards, a dynamic gesture performed once.","One hand, index finger extended other fingers curled palm facing front, holding raised beside head pointing upwards, a static gesture with stationary hand position with small variances in hand pose or position + One hand, index and thumb fingers pinched facing towards face, moving to touch mouth inwards, a dynamic gesture performed once.","One hand, palm open facing forward, raised upwards to face level and lowered downwards, a dynamic gesture performed repeatedly."
p_004,"One hand, thumb and pinky fingers extended other fingers curled palm facing inwards, raised moving upwards to side of head holding touching ear with thumb and pinky near mouth, dynamic gesture performed once + One hand, index finger extended thumb extended other fingers curled palm facing left, positioned extended to the side pointing forwards with thumb moving downwards to touch index, dynamic gesture performed once.","One hand, index finger extended pointing facing in, pointing touching nose inwards, dynamic repeatedly + One hand, open hand extended palm facing down, swiping across mouth rightwards, dynamic repeatedly.","One hand, palm open extended facing forward, waving leftwards and rightwards, dynamic performed once + One hand, index finger extended pointing facing forward, pointing moving downwards, dynamic performed once.","One hand, palm open extended facing forward, raised upwards, a dynamic gesture performed once + One hand, index and thumb fingers pinched forming circle other fingers extended facing forward, pinching together, a dynamic gesture performed repeatedly.","One hand, open hand with fingers extended facing forward, raising and waving to touch head upwards and leftwards rightwards, dynamic gesture performed repeatedly.","One hand, hand open with palm facing forward, swiping horizontally rightwards, dynamic once + One hand, hand open with palm facing forward raised up, waving leftwards and rightwards, dynamic repeatedly.","One hand, index finger extended with other fingers closed, palm facing front, facing up; raising, upwards; a dynamic gesture performed once + One hand, index finger extended with other fingers closed, palm facing down, facing front; lowering, downwards; a dynamic gesture performed once.","Two hands, open hands fingers extended palms facing inwards, raised crossing at wrists touching face holding position, static gesture with stationary hand position with small variances in hand pose or position + One hand, hand closed fist palm facing forward, raised upwards holding position, static gesture with stationary hand position with small variances in hand pose or position."
p_005,"One hand, closed fist with middle finger extended upwards, facing front, raised upwards, dynamic gesture performed once.","One hand, palm open with fingers extended facing forward, raised and held briefly then lowered, upwards then downwards, a dynamic gesture performed once.","One hand, open hand with fingers extended palm facing forward turning to side, raising and lowering with rotation upwards and downwards, dynamic gesture performed once + One hand, open hand with fingers extended palm facing side, raising to touch mouth upwards, dynamic gesture performed once.","Two hands, palms open extended facing forward, raised to chest level upwards, dynamic gesture performed once + One hand, open flat palm facing down, touching head then swiping leftwards outwards, dynamic gesture performed once.","One hand, hand open palm facing forward, holding in front of face, a static gesture with stationary hand position with small variances in hand pose or position.","One hand, palm open extended facing forward, holding in front of face, a static gesture with stationary hand position with small variances in hand pose or position.","One hand, index finger extended with other fingers closed point pose facing forward, raised holding pointing upwards, stationary.","One hand, open hand palm facing forward, waving leftwards and rightwards, dynamic gesture performed repeatedly + One hand, flat hand with extended fingers palm facing inwards, positioning horizontally across mouth, static gesture with stationary hand position."
p_006,"One hand; index finger extended with other fingers curled, facing up; raising and moving to touch mouth, upwards and inwards; a dynamic gesture performed once.","One hand, fist closed with thumb extended pointing up and palm facing forward, raised and lowered, upwards and downwards, dynamic gesture performed repeatedly.","One hand, all fingers extended split into V shape open, palm facing forward; raised upwards touching near ear then moving outwards away; dynamic gesture performed once + Two hands, right hand index finger extended pointing then closed to fist and left hand palm open, palms facing inwards; right hand swiping leftwards across body then both hands moving together touching other hand; dynamic gesture performed once.","Two hands, palms pressed together in closed pose facing each other, holding pressed in front of chest upwards, dynamic gesture performed once + One hand, open hand with all fingers extended facing forward, waving moving leftwards and rightwards, dynamic gesture performed repeatedly.","One hand, all fingers open with index and middle stacked together separated from ring and pinky stacked together, thumb extended, palm facing forward; raised upwards to face level and held stationary; a dynamic gesture performed once.","One hand, index and thumb fingers pinched in circle other fingers extended palm facing forward, raised to face level held briefly then swiping leftwards, dynamic gesture performed once + One hand, open palm all fingers extended palm facing forward, raised upwards on right side then lowered downwards, dynamic gesture performed once.","One hand, open palm with fingers extended facing forward, raised upwards, static gesture with stationary hand position with small variances in hand pose or position.","One hand, index and thumb fingers extended pointing facing forward, raised pointing forwards, dynamic gesture performed once + One hand, palm open facing front, waving rightwards then leftwards, dynamic gesture performed once."
p_007,"One hand, index finger extended pointing palm facing inwards, moving upwards to touch head at temple, a dynamic gesture performed once + One hand, middle finger extended with other fingers closed palm facing forward, holding raised stationary, a static gesture with stationary hand position with small variances in hand pose or position.","One hand, open hand with extended fingers palm facing forward, raised upwards then swiping rightwards, a dynamic gesture performed once.","One hand, palm open touching face palm facing towards face, raised upwards touching and swiping across face to ear rightwards, dynamic gesture performed once + One hand, palm open facing forward, lowered downwards opening at chest level, dynamic gesture performed once.",The user does not perform any gesture.,"One hand, index finger extended touching temple, closed hand pose facing front, rotating circling at head, dynamic performed repeatedly + One hand, index finger extended, closed hand pose facing front, pointing forwards shaking upwards downwards, dynamic performed repeatedly.","One hand, index finger, extended point, facing up, raising, upwards, dynamic gesture performed once + One hand, palm, open extended spread, facing forward, holding, upwards, static gesture with stationary hand position with small variances","One hand, index finger extended other fingers closed palm facing forward, raised pointing upwards, a static gesture with stationary hand position.","Two hands, thumbs extended from closed fists pointing up palms facing forward, holding raised at chest level without movement, a static gesture with stationary hand position with small variances in hand pose or position."
p_008,"One hand, palm open extended facing forward, swiping rightwards then upwards then downwards, a dynamic gesture performed once.","One hand, open hand with fingers extended palm facing forward, holding raised at head level, a static gesture with stationary hand position with small variances in hand pose or position stationary.","One hand, palm and fingers open extended facing in, raised moving touching mouth ear nose upwards then downwards, a dynamic gesture performed once + One hand, index and thumb fingers forming circle other fingers extended palm facing forward, holding raised in front, a static gesture with stationary hand position.","One hand, thumb and pinky extended with other fingers curled palm facing inward, raised holding with thumb touching ear and pinky near mouth upwards, stationary + One hand, closed fist facing inward, pressing against nose inwards, once.",One hand; palm open facing forward; raised upwards to in front of face then lowered downwards; dynamic gesture performed once.,"One hand, index finger extended with other fingers curled, facing forward, pointing forwards, a static gesture with stationary hand position with small variances in hand pose or position + One hand, index and thumb fingers pinched, facing forward, moving backwards touching nose, dynamic gesture performed once.","One hand, open hand with all fingers extended facing forward, raised upwards and waving leftwards and rightwards, dynamic gesture performed repeatedly.","One hand, palm open extended facing front, waving leftwards and rightwards, dynamic gesture performed repeatedly."
p_009,"One hand; index finger and thumb fingers pinching, other fingers extended, palm facing forward; pinching and releasing at chest level forwards; dynamic gesture performed once + One hand; index finger extended, other fingers curled, palm facing inwards facing up; raised to touch mouth holding; static gesture with stationary hand position with small variances.","One hand, index finger extended with other fingers closed palm facing down, raised pointing forwards, a dynamic gesture performed once.","One hand, palm open facing forward, raised forwards, a dynamic gesture performed once + One hand, closed fist with index finger extended facing forward, pointing forwards, a static gesture with stationary hand position with small variances in hand pose or position.","One hand, whole hand in changing poses from closed fist to extended index finger pointing up to open with all fingers spread to extended index finger pointing down to closed fist facing forward, raised then lowered in front of body upwards then downwards, dynamic gesture performed once.","One hand, back hand open facing towards face, raised to touch face upwards, a dynamic gesture performed once + One hand, index finger extended point facing forward, pointing forwards, a dynamic gesture performed once.","One hand, hand transitioning from open palm to index finger extended to open palm to closed fist with thumb extended, facing forward and up, raised upwards and forwards then holding at face level, dynamic performed once + One hand, hand transitioning from open palm to index finger extended to open palm to index finger touching nose, facing forward, raised upwards and forwards then to nose, dynamic performed once.","One hand, palm with all fingers open extended facing forward, raised holding upwards, stationary.","One hand, palm open facing forward, raised upwards and forwards, a dynamic gesture performed once + One hand, index finger extended pointing facing forward, held pointing forwards, a static gesture with stationary hand position."
