id_video,c1_description,c2_description,c3_description,c4_description,c5_description,c6_description,c7_description,c8_description
p_000,"The user performs a sequence of gestures: first raising the hand with fingers slightly bent and palm facing downward, transitioning to extending the index finger upward with the palm facing outward, and finally moving the hand downward in a quick motion.","The user performs a sequence of gestures starting with a rapid upward flick of the hand with fingers extended, transitioning to a pinching motion with the thumb and index finger pointing downward, followed by a downward flicking motion with the pinched fingers.","The user performs a gesture where the hand moves towards the face, with fingers extended and slightly curved, making contact with the cheek, followed by a gesture where the hand moves away from the face in a downward motion.","The user performs a sequence of gestures, starting with the right hand moving upward with fingers slightly curled, transitioning to a pinch-like gesture near the face, followed by an open hand wave with fingers spread, and ending with the hand lowering back down.","The user performs a waving gesture with an open hand, fingers spread, moving side to side, followed by a repetitive tapping motion with a closed fist.","The user performs a sequence of gestures starting with a closed fist moving upward, transitioning to an open hand with fingers spread and moving forward, followed by rapid side-to-side hand movements, and ending with no gesture.","The user performs a waving gesture with one hand, moving it side to side with fingers extended and the palm facing forward.","The user performs a waving gesture with an open hand, fingers spread and palm facing forward, followed by a pinching motion with the thumb and index finger coming together."
p_001,"The user raises their right hand, with fingers slightly curved, and touches the side of their head near the ear, maintaining contact briefly before lowering the hand back down.","The user performs a sequence of gestures: first, the right hand moves to touch the side of the face with fingers extended and slightly curved; then the hand is raised with fingers extended and palm facing outward; followed by pointing with the index finger while the hand moves slightly upward and downward.","The user performs a gesture by crossing both hands in front of the chest with fingers extended and palms facing outward, followed by a downward uncrossing motion, and then returns to resting positions.",The user performs no hand gestures in the sequence of images.,"The user performs a gesture by raising their right hand, extending the index finger while the other fingers remain curled, and pointing forward and slightly upward, followed by a downward motion to point forward and slightly downward.","The user raises their right hand, extends the index finger upward while the other fingers are curled, moves the hand slightly forward, and then lowers it back to a resting position.","The user raises their right hand with fingers spread and palm facing forward, holds it briefly, then lowers it back to a resting position.","The user performs a waving gesture with the right hand, fingers extended and slightly spread, moving side to side in front of the face."
p_002,"The user performs a gesture by raising their right hand, extending the index finger upward while the other fingers remain curled, and moves the hand slightly up and down repeatedly.","The user performs a gesture by raising one hand with the index finger extended, briefly touching the side of their face near the eye, followed by a series of downward pointing motions with the same hand.","The user performs two gestures in sequence: first, the right hand with the index finger extended touches the side of the head near the ear, and second, both hands move outward with palms facing upward and fingers slightly spread.","The user first touches their face near the cheek with a closed hand, then transitions to raising an extended index finger upward while the other fingers remain curled.","The user performs a sequence of gestures including raising two fingers in a ""V"" shape near the face, covering the lower face with one hand, crossing arms in front of the body, clapping hands together, and moving both hands outward and upward in a spreading motion.","The user performs a sequence of gestures: first, the right hand moves upward with fingers extended and slightly curved, briefly touches the face near the mouth, then transitions to a thumbs-up pose with the thumb extended upward and other fingers curled, before returning to a resting position.","The user performs a gesture by raising their right hand with the index finger extended upward, followed by transitioning to a ""V"" shape with the index and middle fingers extended.","The user performs a gesture involving both hands moving outward and upward in a sweeping motion, palms facing down, followed by returning to a resting position."
p_003,"The user performs a gesture where the right hand, with fingers curled and the index finger extended, touches the chin and moves slightly upward and downward repeatedly before returning to a resting position.","The user performs a gesture where the right hand, with fingers curled into a loose fist, moves towards the chin and rests briefly before returning to the initial position.","The user raises their right hand, extends the index finger vertically near their lips, and then lowers the hand back to a resting position.","The user performs a sequence of gestures involving the right hand initially resting on the head, then moving to a rapid waving motion with fingers spread, followed by forming an ""L"" shape with the thumb and index finger near the face, alternating between these gestures.","The user performs a waving gesture with the right hand, moving it side-to-side with fingers extended and palm facing outward, while the left hand remains stationary, supporting the head.","The user performs a waving gesture with the right hand, moving it back and forth while the left hand remains in contact with the side of the head.","The user performs a gesture by raising their right hand, extending the index finger upward while the other fingers remain curled, and then returns the hand to its initial position.","The user performs a sequence of gestures involving one hand moving in a rapid waving motion with fingers extended and palm facing outward, followed by a horizontal sweeping motion with the palm facing downward."
p_004,"The user performs a sequence of gestures involving raising the right hand to touch the side of the head, followed by lifting the hand with fingers extended and moving it in a waving motion, and finally pointing with the index finger before returning to a resting position.","The user performs a sequence of gestures involving the right hand moving upward with fingers extended and slightly curved, followed by a brief touch near the face, and then transitions to a horizontal waving motion with the hand flat and palm facing downward.","The user performs a sequence of gestures involving raising one hand with fingers spread, transitioning to a pinching motion with the thumb and index finger, and then lowering the hand back to the resting position.","The user performs a sequence of gestures involving raising one hand with fingers extended and spread, transitioning to a pinching motion with the thumb and index finger, and then lowering the hand back to the resting position.","The user performs a sequence of gestures involving raising one hand to touch the forehead, followed by a downward sweeping motion with the same hand, and then a repeated horizontal sweeping motion in front of the body.",The user performs a sequence of gestures involving one hand moving in a circular motion followed by an open palm raised and waved side-to-side.,"The user performs a gesture by raising their right hand, extending the index finger upward while the other fingers remain curled, and then lowers the hand back to the initial position.","The user performs a sequence of gestures involving both hands: first, the right hand moves upward with fingers extended and interacts with the left hand, which is stationary; then, the hands cross with the right hand above the left, forming an ""X"" shape; next, the hands move together in front of the face with fingers slightly curled; finally, the right hand forms a fist and moves upward while the left hand remains inactive."
p_005,"The user performs a single hand gesture with the right hand, characterized by an upward and outward motion with the palm facing up and fingers extended, followed by a series of quick vertical movements before returning to a resting position.","The user performs a sequence of gestures starting with raising the right hand vertically with fingers extended and palm facing outward, followed by a waving motion with the same hand, and then lowering it back to the table.","The user performs a gesture with the right hand extended, palm facing left, moving back and forth horizontally, followed by bringing the hand closer to the face with the palm facing inward.","The user performs a sequence of gestures involving the right hand moving in a circular motion near the face, transitioning to a horizontal sweeping motion to the side, and then returning to a resting position.","The user performs a sequence of gestures starting with rapid side-to-side waving of the right hand, transitions to an open palm facing forward held steadily, and concludes with a flicking motion of the fingers followed by resting hands.","The user performs a gesture with the right hand, initially moving it upward with fingers extended and palm facing forward, followed by a stationary pose with the hand held upright.","The user performs a gesture by raising their right hand with the index finger extended upward while the left hand moves dynamically in a circular motion, followed by lowering both hands to a resting position.","The user performs a sequence of gestures starting with a rapid waving motion of the right hand, followed by a horizontal slicing motion with the right hand above the left, and concludes with a forward pointing motion using the right hand."
p_006,"The user raises their right hand with the index finger extended upward while the other fingers are curled, and performs a small circular motion with the extended finger.","The user performs a repetitive upward and downward motion with a closed fist, followed by pointing forward with an extended index finger.","The user performs a sequence of gestures involving both hands, starting with a forward circular motion, transitioning to one hand raised near the head while the other remains extended, followed by a hand overlap with downward motion, and concluding with a return to a neutral position.","The user performs a sequence of gestures involving one hand moving rapidly in a waving motion, followed by both hands coming together with fingers interlocked and palms facing downward, and then returning to a single hand waving motion.","The user performs a gesture by raising one hand with fingers spread and palm facing forward, followed by a downward motion of the hand.","The user performs a waving gesture with an open hand, fingers extended and slightly spread, moving side to side in a repeated motion.","The user performs a single hand gesture involving the right hand raised with fingers extended and slightly spread, moving in a vertical waving motion before returning to a resting position.","The user performs a waving gesture with the right hand, moving it side to side with fingers extended and palm facing outward."
p_007,"The user performs a sequence of gestures: first, pointing forward with the right hand, then touching the right side of the head with the right index finger, followed by raising the right index finger upward, and finally lowering the hand.","The user performs a gesture with the right hand raised near the face, palm facing outward, fingers spread, followed by a downward motion of the hand.","The user performs a sequence of gestures where the right hand moves upward to touch the face, covering it with the palm, followed by a downward motion and a clenched fist gesture near the chest.",The user does not perform any hand gestures.,"The user initially touches the side of their head with their fingers, then raises their index finger vertically, transitions to pointing forward with the index finger, and finally moves their hand downward in a tapping motion.","The user performs a sequence of gestures starting with a single raised index finger, transitioning to an open hand with fingers spread, and returning to a resting position.","The user raises their right hand with the index finger extended upward while the other fingers are curled, holds the pose briefly, and then moves the hand to touch the side of their head.","The user performs a ""thumbs-up"" gesture with both hands, raising their thumbs upward while keeping the other fingers curled, and maintains this pose with slight adjustments throughout the sequence."
p_008,"The user performs a sequence of gestures involving the right hand moving in a circular motion near the table, transitioning to a horizontal wave-like motion, and then raising the hand vertically with a slight oscillation before returning to the resting position.","The user performs a sequence of gestures involving the right hand moving upward with fingers slightly curved, followed by a repetitive downward motion resembling tapping or knocking, and then returning to a resting position.","The user performs a sequence of gestures: first, a repetitive downward motion with the right hand; second, the right hand touches the face near the mouth; third, the right hand forms an ""OK"" sign with the thumb and index finger while the other fingers are extended; and finally, the right hand returns to a repetitive downward motion.","The user performs a sequence of gestures involving the right hand moving towards the face, touching the cheek and ear area, followed by a downward motion to the chest, and then returning to a resting position.","The user performs a waving gesture with the right hand, moving it side to side with fingers extended and palm facing forward.","The user performs a pointing gesture with the right hand, extending the index finger while the hand moves forward and slightly upward, then retracts to a resting position.","The user performs two gestures in sequence: first, a waving gesture with the right hand, fingers extended and palm facing forward, moving side to side; second, a tapping gesture with the right hand, palm facing downward, repeatedly striking the left hand.","The user performs a waving gesture with the right hand, moving it side-to-side with fingers extended and palm facing outward, followed by a tapping motion on the table with both hands."
p_009,"The user performs a sequence of gestures involving the right hand moving forward with fingers spread, transitioning to a pinching motion with the thumb and index finger, and then returning to a relaxed position.","The user performs a gesture with the right hand, extending it forward with fingers slightly spread and the palm facing outward, followed by a downward motion of the hand.","The user performs a sequence of gestures starting with an open hand with fingers spread moving forward, transitioning to a thumbs-up gesture, then forming a fist, and finally tapping the fist on the table multiple times.","The user performs a sequence of gestures involving a closed fist moving vertically, followed by an open hand with fingers spread facing forward, and then transitions back to a closed fist moving vertically.","The user performs a sequence of gestures: first, a right-hand vertical wave with fingers extended and palm facing forward, followed by a forward motion of the right hand with the palm facing downward, and finally a downward tapping motion with the right hand in a loose fist.","The user performs a sequence of gestures involving an open hand with fingers extended and palm facing upward, transitioning to a closed fist raised near the face, followed by a downward motion returning to a resting position.","The user performs a gesture by raising their right hand with fingers extended and palm facing forward, followed by lowering the hand and forming a loose fist with a slight downward motion.","The user performs two gestures in sequence: first, the right hand extends forward with fingers spread wide and palm facing outward, followed by a pointing gesture with the right hand, index finger extended and directed forward while the other fingers curl inward."
