id_video,c1_description,c2_description,c3_description,c4_description,c5_description,c6_description,c7_description,c8_description
p_000,"The hand, with fingers extended and together, moves upward, then the index finger extends while the other fingers fold into the palm, and the hand moves downward.","The right hand, with a closed fist and the index finger extended, moves up and down.","The hand, with fingers extended and together, moves towards the face, then the thumb and index finger form a circle while the other fingers remain extended.","The hand, with fingers extended and separated, moves from a position near the face to the side, waving.","The hand, with fingers extended, moves forward and then the index finger points forward while the other fingers curl into a fist, and the hand moves up and down.","The hand, initially closed with the index finger extended, opens up to show all fingers extended and slightly separated, while moving forward and backward.","The user raises their right hand, with fingers extended and slightly separated, and repeatedly moves it from side to side.","The hand, with fingers extended and together, moves up and down repeatedly."
p_001,"The right hand, with fingers together, moves from the neck to the right cheek.","The right hand, with fingers extended, moves from the chin to the forehead, then down.","The user claps their hands together, then crosses their forearms with open hands.",No hand gestures are performed.,"The right hand, with fingers initially flexed, extends the index finger pointing to the left, then the hand moves down and the index finger points down.","The right hand, with fingers extended and palm facing forward, moves upwards and then the index finger touches the chin.","The right hand, with fingers extended and slightly separated, moves upward and forward, then the thumb folds inward towards the palm.","The right hand, with fingers extended, moves from right to left in a waving motion."
p_002,"The right hand, with a closed fist and the index finger extended, moves upwards and then remains pointing upwards.","The right hand, with a closed fist and the index finger extended, moves up and down.","The right hand raises the index finger, then the index and middle fingers, and finally both hands move up and down with palms facing up.","The right hand, with fingers flexed, moves from the face to an extended index finger pointing upwards, then moves back and forth.","The user raises their right hand, palm facing the face, then touches the face with the fingertips, and finally performs a two-finger gesture.","The hand moves forward with the index finger extended and the other fingers folded, then the thumb extends upward.","The hand moves upwards, extending the index finger while keeping the other fingers folded.","The hands, with fingers extended, move away from each other in a horizontal plane."
p_003,"The right hand, with fingers together, moves from the chin to the right side of the face, then moves away from the face.","The right hand, with a closed fist and the index finger extended, moves downward.","The right hand, with fingers together, moves vertically up to the mouth, touching the lips with the index finger.","The right hand, with fingers extended and palm facing forward, moves repeatedly towards the face, stopping just before touching it, while the left hand supports the head.","The right hand, with fingers extended and palm facing forward, moves from right to left in front of the face.","The right hand, with fingers extended and together, moves repeatedly towards the face, stopping before touching it.","The right hand, initially with fingers flexed, moves upwards, extends the index finger pointing up, and then touches the chin with the index finger before returning to the initial position.","The user's right hand, with fingers extended, moves repeatedly from right to left in front of the face."
p_004,"The right hand, with fingers extended and separated, moves from the right ear towards the front, then the fingers pinch together and move downwards.","The right hand, with fingers extended and together, moves up and down in front of the face.","The right hand, with fingers extended and together, moves upwards and then downwards with a slight waving motion.","The right hand, initially with fingers flexed, extends the fingers and moves upward, then the hand moves downward while the fingers flex again.","The right hand, with fingers extended and together, moves repeatedly from right to left in front of the face, eventually touching the forehead.","The user raises their right hand, extends all fingers, and repeatedly moves the hand from side to side.","The right hand, with a closed fist and extended index finger pointing down, moves upwards until the arm is fully extended, then the index finger points downwards again.","The user moves both hands towards each other in front of the face, then one hand clenches into a fist and moves upwards."
p_005,"The right hand, with fingers extended, palm up, moves repeatedly from right to left.","The right hand, with fingers extended and together, moves upward and then downward repeatedly.","The right hand, with fingers extended and together, moves repeatedly from right to left in front of the body.",The user claps his hands together in front of his body.,"The user raises their right hand, palm open and facing forward, moving it towards the camera.","The user raises their right hand, palm open and facing forward, towards the camera.","The user claps his hands together, then raises his right hand with the index finger extended upwards, while the other hand moves in a circular motion.","The right hand, with fingers extended and together, moves from right to left in front of the face, then the fingers pinch together."
p_006,"The hand starts with all fingers flexed, then extends the index finger pointing upwards, and finally moves the hand towards the face, touching the forehead with the index finger.","The hand, initially open, closes into a fist and then extends the index finger, pointing it downwards with a slight up-and-down movement.","The user moves both hands in a circular motion, with fingers curled into a fist.","The right hand, with fingers extended, moves upward and to the right, rotating at the wrist.","The hand, with fingers extended and palm facing forward, moves from the side towards the face, covering it, and then returns to the side.","The user raises their right hand, palm forward, and repeatedly moves it from side to side.","The user raises their right hand, with fingers extended and slightly separated, and repeatedly moves it from side to side.","The hand, with fingers extended, moves from right to left in front of the face."
p_007,"The right hand with extended index finger moves from the right cheek upwards, then the hand moves downwards with a repeated tapping motion.","The right hand, with fingers extended and together, moves from the neck level upwards and away from the body, maintaining a palm-down orientation.","The right hand, with fingers extended and together, moves from the neck to the right cheek, touching the face.",The user touches the right side of their face with their right hand.,"The right hand, with fingers flexed into a fist except for the index finger extended, moves from the right side of the head to point forward, then moves downward.","The user raises their right hand, starting with a closed fist and then extending all fingers upwards.","The right hand moves upwards, extending the index finger while keeping the other fingers curled.","The user raises both hands, forming a fist with the thumbs extended upwards."
p_008,"The user raises the right hand with fingers extended and palm facing down, then moves it up and down repeatedly.","The right hand, with fingers extended and palm facing forward, moves repeatedly up and down.","The right hand, with fingers extended and together, moves from the neck to the right side of the face, then the hand moves repeatedly from the neck to the right side of the face.","The right hand, with fingers flexed into a loose fist, moves repeatedly up and down near the face, eventually touching the chin and neck.","The right hand, with fingers extended and palm facing forward, moves from right to left in front of the face.","The right hand, with fingers flexed into a fist, moves forward towards the camera.","The right hand, with fingers extended and palm facing forward, moves repeatedly from right to left.","The right hand, with fingers extended and palm facing forward, moves repeatedly from right to left, then the hand moves down and performs a fisted shaking movement."
p_009,"The right hand, with fingers initially extended, moves forward, then the fingers close to the thumb, and the hand retracts.","The right hand, with fingers initially flexed, extends the index finger while moving forward.","The right hand, initially with fingers extended, moves forward while closing into a fist, then moves back to the initial position.","The right hand, initially closed, opens with fingers extended and palm facing forward, then returns to a closed fist and moves repeatedly up and down.","The right hand, with fingers extended and palm facing forward, moves upward in front of the face, then rotates downward, and finally repeatedly moves downward.","The right hand, with fingers extended and palm facing up, moves forward and then touches the forehead before returning to the initial position.","The right hand, with fingers extended and together, moves upward and then repeatedly pivots at the wrist.","The right hand, initially with fingers extended, closes into a fist and moves forward with small repeated thrusting motions."
