Gesture,Group1,Group2,Z-Stat,p-value,Corrected p-value
Increase volume,Human-STR,GPT4o-STR,6.801671683521462,1.0341206150580154e-11,1.2409447380696184e-09
Increase volume,Human-STR,GPT5-STR,8.760785141783364,1.938950690489493e-18,2.326740828587392e-16
Increase volume,Human-STR,Gemini-STR,9.762467679725136,1.6313653620764043e-22,1.9576384344916853e-20
Increase volume,Human-STR,Sonnet-STR,7.663000454612982,1.816387024634626e-14,2.179664429561551e-12
Increase volume,Human-STR,Grok-STR,10.049475077101276,9.235806615377385e-24,1.1082967938452861e-21
Increase volume,GPT4o-STR,GPT5-STR,2.2886885410853166,0.022097455284227206,1.0
Increase volume,GPT4o-STR,Gemini-STR,3.5124698233985105,0.00044396241778481385,0.053275490134177664
Increase volume,GPT4o-STR,Sonnet-STR,1.0336269831325704,0.30131057990827903,1.0
Increase volume,GPT4o-STR,Grok-STR,4.001108645422112,6.304640018111064e-05,0.007565568021733277
Increase volume,GPT5-STR,Gemini-STR,1.2630124300859993,0.20658471263096145,1.0
Increase volume,GPT5-STR,Sonnet-STR,-1.2487634084073316,0.2117516211695193,1.0
Increase volume,GPT5-STR,Grok-STR,1.836782556086764,0.0662420020897658,1.0
Increase volume,Gemini-STR,Sonnet-STR,-2.488668199440598,0.012822256902767464,1.0
Increase volume,Gemini-STR,Grok-STR,0.6103383381729877,0.541637705557348,1.0
Increase volume,Sonnet-STR,Grok-STR,3.0161260532750895,0.002560268003602597,0.30723216043231166
Decrease volume,Human-STR,GPT4o-STR,10.84323350626035,2.1474412220230973e-27,2.576929466427717e-25
Decrease volume,Human-STR,GPT5-STR,10.503933891757116,8.285366228527849e-26,9.94243947423342e-24
Decrease volume,Human-STR,Gemini-STR,9.06120712970765,1.2901475616128073e-19,1.548177073935369e-17
Decrease volume,Human-STR,Sonnet-STR,12.033544193812062,2.3677384371509328e-33,2.8412861245811195e-31
Decrease volume,Human-STR,Grok-STR,12.618781346252822,1.6637597806071976e-36,1.996511736728637e-34
Decrease volume,GPT4o-STR,GPT5-STR,-0.41477127703619737,0.6783093481514642,1.0
Decrease volume,GPT4o-STR,Gemini-STR,-2.3257910488444486,0.0200297003994361,1.0
Decrease volume,GPT4o-STR,Sonnet-STR,1.9398860519981174,0.052393539550789806,1.0
Decrease volume,GPT4o-STR,Grok-STR,2.8991446283378783,0.00374182249525168,0.4490186994302016
Decrease volume,GPT5-STR,Gemini-STR,-1.9062718136100325,0.05661494921507715,1.0
Decrease volume,GPT5-STR,Sonnet-STR,2.3272643455376016,0.019951200189373165,1.0
Decrease volume,GPT5-STR,Grok-STR,3.2685571187272835,0.0010809735651870881,0.1297168278224506
Decrease volume,Gemini-STR,Sonnet-STR,4.119014796615428,3.804957164960475e-05,0.00456594859795257
Decrease volume,Gemini-STR,Grok-STR,4.98303351447485,6.259510367837944e-07,7.511412441405532e-05
Decrease volume,Sonnet-STR,Grok-STR,1.0139971112281632,0.3105841307212658,1.0
Mute microphone,Human-STR,GPT4o-STR,5.5137078563185,3.5135163865176035e-08,4.216219663821124e-06
Mute microphone,Human-STR,GPT5-STR,4.646212473461339,3.380847935197768e-06,0.00040570175222373215
Mute microphone,Human-STR,Gemini-STR,5.5137078563185,3.5135163865176035e-08,4.216219663821124e-06
Mute microphone,Human-STR,Sonnet-STR,7.304096646871601,2.7913569254357863e-13,3.349628310522943e-11
Mute microphone,Human-STR,Grok-STR,4.210254944108261,2.550826749524147e-05,0.003060992099428976
Mute microphone,GPT4o-STR,GPT5-STR,-0.960056300800649,0.33702688014366244,1.0
Mute microphone,GPT4o-STR,Gemini-STR,0.0,1.0,1.0
